,Unnamed: 0,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,3,CA02,0140105686,SYSC llc,2020-04-22 23:45:38.125000000,2020.0,2960623488.0,2020-03-30,2020-04-10,2020-03-31,CA10,2309.7899999999995,0-15
1,7,U001,0200744019,TARG us,2020-04-06 02:33:50.281250000,2020.0,1930659387.0,2020-03-19,2020-04-03,2020-03-19,NAA8,11173.02,0-15
2,10,U001,0200418007,AM ,2020-03-19 23:02:57.125000000,2020.0,1930610806.0,2020-03-11,2020-03-26,2020-03-11,NAA8,3525.59,
3,14,U001,0200739534,OK systems,2020-04-29 10:14:32.394531250,2020.0,1930788296.0,2020-04-15,2020-04-30,2020-04-15,NAA8,121105.65,
4,15,U001,0200353024,DECA corporation,2020-04-22 21:40:46.562500000,2020.0,1930817482.0,2020-04-23,2020-04-26,2020-04-16,NAM2,3726.06,
5,22,U001,0200744019,TARG associates,2020-04-07 23:03:28.515625000,2020.0,1930676042.0,2020-03-21,2020-04-05,2020-03-21,NAA8,5893.01,0-15
6,25,CA02,0140106408,WAL-M corp,2020-03-26 20:21:23.562500000,2020.0,2960618790.0,2020-03-06,2020-03-16,2020-03-06,CA10,64982.589,0-15
7,27,U001,0200337148,COAS llc,2020-03-14 15:23:48.781250000,2020.0,1930592246.0,2020-03-02,2020-03-17,2020-03-02,NAA8,11380.83,
8,35,U001,0200794332,COST associates,2020-04-20 16:55:12.242187500,2020.0,1930731070.0,2020-04-07,2020-04-22,2020-04-07,NAAX,3863.93,
9,37,U001,0200794332,COST llc,2020-05-09 07:04:05.195312500,2020.0,1930803605.0,2020-04-23,2020-05-08,2020-04-23,NAAX,74453.01,0-15
10,45,U001,0200803720,DEC corp,2020-04-02 08:51:13.187500000,2020.0,1930698352.0,2020-03-25,2020-04-08,2020-03-16,NAM4,138.6,
11,51,U001,0200794332,COST co,2020-03-28 11:05:34.769531250,2020.0,1930647189.0,2020-03-13,2020-03-28,2020-03-13,NAAX,32715.47,0-15
12,52,U001,0200020431,DEC us,2020-05-15 18:25:46.687500000,2020.0,1930861637.0,2020-05-06,2020-05-24,2020-05-01,NAM4,174.72,
13,57,U001,0200769623,WAL-MAR associates,2020-03-22 01:04:50.906250000,2020.0,1930635649.0,2020-03-12,2020-03-27,2020-03-12,NAH4,767.78,
14,70,CA02,140105785,SHOPPE foundation,2020-04-27 05:21:38.125000000,2020.0,2960624627.0,2020-03-27,2020-04-10,2020-03-31,CA10,1980.72,16-30
15,76,U001,0200769623,WAL-MAR ,2020-03-13 16:35:58.101562500,2020.0,1930577078.0,2020-02-28,2020-03-14,2020-02-28,NAH4,14514.68,
16,77,U001,0200769623,WAL-MAR foundation,2020-04-25 04:23:12.448242188,2020.0,1930774741.0,2020-04-10,2020-04-25,2020-04-10,NAH4,55400.31,0-15
17,79,U001,0200772670,ASSOCIAT corporation,2020-04-22 13:57:49.289062500,2020.0,1930765053.0,2020-04-09,2020-04-24,2020-04-09,NAU5,174766.36,
18,83,U001,0200900909,SYSCO systems,2020-04-16 21:42:48.984375000,2020.0,1930645969.0,2020-03-13,2020-04-14,2020-03-13,NA32,31512.75,0-15
19,84,U001,0200769623,WAL-MAR systems,2020-04-12 13:51:44.968750000,2020.0,1930718081.0,2020-03-30,2020-04-14,2020-03-30,NAH4,19701.55,
20,88,U001,0200726979,BJ'S  trust,2020-04-23 22:59:33.875000000,2020.0,1930788667.0,2020-04-16,2020-05-01,2020-04-16,NAA8,132.72,
21,94,U001,0200769623,WAL-MAR llc,2020-04-10 23:40:14.312500000,2020.0,1930709919.0,2020-03-29,2020-04-13,2020-03-29,NAH4,1121.15,
22,95,U001,0200769623,WAL-MAR llc,2020-04-19 22:30:00.640625000,2020.0,1930752568.0,2020-04-06,2020-04-21,2020-04-06,NAH4,11394.84,
23,102,CA02,0140105847,GORDON F co,2020-04-19 17:38:13.843750000,2020.0,2960627274.0,2020-04-08,2020-04-18,2020-04-08,CA10,2579.64,0-15
24,110,U001,0200744019,TARG foundation,2020-04-02 05:52:14.562500000,2020.0,1930648342.0,2020-03-15,2020-03-30,2020-03-15,NAA8,52123.3,0-15
